review,date,rating
Amazing place close to everything| clean and accessible to transport| shops and restaurants around | definitely will come back again,Mar 2| 2020,5
Loved the hotel. Awesome location and good customer service. Very clean and super nice room. Would definitely stay at this location again 😁,Feb 27| 2020,5
Hotel was well priced| and as per the description. Reception was always very friendly. Didn't eat inside- but for the price| cannot complain. All good.,Feb 24| 2020,5
The elevators- only two and one not working ever regardless if what stAff state- and then a 50 dollar day fee added! Forget it- for nothing.,Feb 23| 2020,3
We could hear the people in the room next to us. The walls are paper thin. The shower door would not close properly so water ran all over the floor| toilet paper arm was hanging off the wall| space was tight| elevators were slow.,Feb 18| 2020,2
The staff at this hotel were amazing. Friendly and helpful for us out-of-towners that were a little overwhelmed by the city. We weren't able to check in early but they stored our bags and we were off to explore. The room was clean but super small. I would definitely stay here again!,Feb 18| 2020,5
Nice clean rooms| reasonably priced| lovely staff - overall we really enjoyed our stay. Only downside is the elevators| they can be quite slow. But if you don’t mind waiting an extra few minutes it’s quite fine.,Feb 17| 2020,5
Very comfortable stay.  The only hiccup was that no one cleaned my room despite telling the front desk twice.  I received a breakfast voucher instead. Otherwise I would stay here again.  Hilton Garden Inn also doesn’t charge facilities fees like other NYC hotels do...,Feb 16| 2020,4
Very friendly| accommodating staff| clean room!,Feb 14| 2020,5
Suoer,Feb 12| 2020,5
Glad I decided to stay here this time. So happy with the room| much more spacious than the hotels near Times Square. Very clean and great view. The staff was nice as well. Wish I had a counter in the bathroom but it worked out fine. I left my makeup and large items on the counter by the tv,Feb 11| 2020,5
Was able to get into my room early.  The staff was nice and welcoming| very accommodating and friendly.  Only complaint was the breakfast.  All the food was cold| and for $23 per person you'd expect food to order to be hot.  So| I wish I'd gone out to a diner. But the room was great!,Feb 10| 2020,5
Love the Cookies and the coffee and the staff were very nice,Feb 10| 2020,5
Everything was great| everybody was soo nice and helpful| nice room.  Only problem was the elevator.  We were on the 22nd floor and there are only 2 elevators so it can be slow going.  And then one elevator broke so the waits were really long (25min).,Feb 9| 2020,5
Everything went well. Staff was pleasant and clean room. Appreciated the later check out. The only problem was a really long wait for the elevator. We did strike up a nice conversation with another guest while waiting. I gave up and took the stairs. Lucky I didn’t have heavy luggage. Overall| a nice stay in midtown Manhattan.,Feb 7| 2020,4
Staff were so friendly and welcoming| always wishing you a good day and offering their help. We also appreciated the flavoured water snacks in the lobby each day. Would absolutely return here when next in New York !,Feb 5| 2020,5
the staff was very friendly. Our view form the room was less than steller but it was ok as we didn't spend much time in the room.,Feb 3| 2020,5
Hilton Garden is a consistently clean and affordable place to stay| however| they had only one elevator working and we had to wait a long time| each time we rode (we were on 23rd floor). Had to stop at every other floor on way down and the elevator was soo overcrowded and uncomfortable!Positive notes.... melon infused water in the lobby| very nice staff| great location and clean| spacious rooms.,Feb 3| 2020,4
Small room| but it's a perfect location. Easy access to everywhere and it's right by the train station.,Jan 30| 2020,4
Everything is good| except that the day we would be leaving| a staff knocked at our door to ask what time we would be leaving which is a quite rude.,Jan 26| 2020,5
Room was nice and enjoyed the stay. However| after I checked out| I was charged for a breakfast I did not eat. I called and they did not believe me despite the signature on the receipt not matching my signature. We did not eat in the restaurant during our stay. It took multiple phone calls to get resolved. Totally unacceptable to not disclose these charges at checkout or to not believe me when I initially called. Zandra from billing was very unprofessional during the phone call and was more accusatory than apologetic.,Jan 23| 2020,1
excellent location. good staffs. fine restaurants are nearby. clean and well managed. only problem was noise from the neighboring room.,Jan 23| 2020,4
I loved my stay,Jan 21| 2020,5
Super loud| you can hear your neighbors behind the wall and the elevator running up and down. TV would turn off every 5 min or so.,Jan 20| 2020,1
The room was excellent - nicely renovated and very clean and excellent housekeeping staff.,Jan 20| 2020,5
The elevator had a mind of it's own| had to use the stairs. Room keys didn't work easily. Staff very nice and helpful!,Jan 20| 2020,4
It was very clean and quiet. I had a very good stay. Will recomend it to friends.,Jan 20| 2020,5
The staff was extremely accommodating| bartender was extremely helpful.  I wish I was able to eat at the hotel but we had a tight schedule.  Would definitely stay here again.,Jan 20| 2020,5
Clean rooms. Tv right in front of the bed. Fridge and microwave. Room service is fast.,Jan 19| 2020,4
Very clean| easy to get to| staff very friendly.,Jan 19| 2020,5
The heater blew cold air most of the night or very hot air.(no middle ground). The shower was terrible - you can't turn on the water without getting caught under the shower head - which means every shower starts off freezing - stupid concept.,Jan 19| 2020,3
Front desk was extremely helpful. Nice location. Quit walk to a metro station| coffee| and bagels!!!,Jan 19| 2020,4
Clean| comfortable rooms. Hotel is conveniently located near major subway stations.,Jan 17| 2020,4
Proximity to interesting section of 2nd Ave. Efficient| clean| friendly.,Jan 16| 2020,4
Excellent!! Clean!!! Close to everything!!!,Jan 14| 2020,5
the Hilton Garden Inn was close to so many sites | so we walked everywhere . We took a Via car from Laguardia for a good deal . Staff at the hotel were friendly . The room was smallish | but clean and comfortable | and we didn't spend much time there anyway .,Jan 13| 2020,4
Great location with proximity to many places of interest| Whole Foods| parking.,Jan 11| 2020,4
Really love the location. Front desk staff very friendly!!,Jan 9| 2020,4
Friendly staff| very helpful.We were challenged with the elevator| but help was always available.The cafe was convenient and our meal was good.,Jan 9| 2020,4
Always great staff with Marriott and they are really well organized and readily available,Jan 8| 2020,5
Stayed twice at this hotel through Expedia. Not entirely sure if it’s a coincidence staying in the same room with smelly bathroom. It felt like I was in a hospital room.,Jan 8| 2020,1
Very happy we selected a room on the 3rd Floor. Convenient location and attentive staff. Nice little restaurant and bar in the lobby. Clean and quiet. Free Wi-Fi. We will plan another visit.,Jan 8| 2020,4
Very good location and very nice staff. I will definitely stay here again when I go back to visit,Jan 6| 2020,5
This hotel serves any guest well. It is conveniently located to the numerous Manhattan area must-sees including Times Square| Central Park| etc. Service| for the most part| is genuinely friendly and courteous.,Dec 30| 2019,5
My reservation was moved from a Hilton Garden to a Holiday Inn Express ... which is a huge down grade as far as I am concerned.  I was never contacted prior to my arrival at Hilton Garden and after walking 2 miles to get there| we had to walk again to another hotel.  The Holiday Inn Express is not as nice as a Hilton Garden Inn.  I am a Hilton Honors member and lost earning points by being moved.,Dec 28| 2019,1
Nice place close to midtown..,Dec 27| 2019,4
Great stay with the family| had nice help from the front desk with our luggage. Rooms not as spacious to walk around in| but the whole area was clean and comfortable to rest in.,Dec 27| 2019,5
Toilet was running and the heat didn’t adjust but then we saw the thermostat on the wall the next day. So our night was a little warm. The room had nice amenities and was pretty clean. Front desk personnel were excellent!,Dec 23| 2019,4
Wonderful service,Dec 23| 2019,5
Great location. Very clean and staff was beyond great. Coffee service every morning a big plus.,Dec 23| 2019,5
I didnt like that housekeeping knocked on my door 3 times in morning. First 830 am I put do not disturb on door. Then at| 1030 am and then 1115. Check out is 12pm. It was annoying. I understand its holiday time they want to clean & fill rooms but they should check with front desk who checked out.,Dec 22| 2019,3
Beautiful hotel and the staff was so accommodating!,Dec 17| 2019,5
Great Stay!!!!  Love the location!!  Everyone very helpful and friendly at Hilton,Dec 16| 2019,5
Easy check in|friendly staff|quiet & accessable to great eateries & shopping.,Dec 13| 2019,5
As soon as i walked into the Hotel the lobby it was fulled with Christmas decorations & it was very beautiful. Christina the Supervisor helped me with my reservation she was super sweet and to top it off she gave me a view of the city that made my evening.,Dec 10| 2019,5
Hilton Garden Inn was excellentBrilliant location| great service.Older style rooms but immaculately clean and perfectly fine,Dec 10| 2019,5
I loved the fact they had parking. Expensive and your not supposed to use your car the entire duration of your stay| however we got lucky and were able to use our car to travel to see the statue of liberty! Great trip! Wish we had more time there! Will definitely be going back in the near future!,Dec 9| 2019,5
This location is close to Central Park and the Subway Terminal.,Dec 3| 2019,5
friendly staff at receptionsometimes long wait for elevator,Dec 3| 2019,4
Clean rooms and quick check in. Located in a central location with cute bars.,Dec 3| 2019,5
Good service. The only problem was one of the elevators was down for a little while. Other than that everything thing was great.,Dec 1| 2019,4
Excellent,Nov 29| 2019,5
good,Nov 27| 2019,5
Rooms were much bigger than I expected & everything was nice and clean!,Nov 27| 2019,5
Great hotel| nice comfortable rooms ideal for how long we was staying for which was for 4 days. Well placed between 51st Lexington ave and 51st street subway stations| direct to Jamaica for JFK.,Nov 27| 2019,5
The location is great. LOTS of great restaurants. Not far from St. Patrick's Cathedral and the Madison Ave. high fashion stores.,Nov 27| 2019,5
It had everything one needed|  neatly packed within a room.,Nov 22| 2019,4
A parcel was left at reception by a relative. When I asked at checkout I was told no parcel was delivered. As delivery was confirmed by my relative some 30 minutes earlier| this just points to total incompetence by desk staff.,Nov 19| 2019,4
Clean and neat and inviting. Staff was VERY friendly,Nov 18| 2019,5
Disappointing hotel,Nov 14| 2019,2
Modern| clean and good mid-town location. Rooms good size. Breakfast decent| with excellent service in contrast  to reception.,Nov 13| 2019,4
I asked for a quiet room. got one down a short hall with only one other room; however other room had adjoining door and walls seemed thin so I heard lots of noise especially 12:00 am - 1:00 am with several guests talking loud| going in and out multiple times with a loud door closing. for both of my two nights the guests were noisy.Jaqueline expeditiously checked me in and was helpful. Desk/luggage staff was friendly and efficient.,Nov 12| 2019,4
Room was very dated & low quality especially for $300 a night. Probably won’t return.,Nov 11| 2019,5
I was expecting more for the location where is located.,Nov 7| 2019,3
The facility was a bit older and didn’t have proper utensils in the room even though it had a microwave and fridge. Paper cups were all that was available. But the staff were extremely friendly and helpful.,Nov 5| 2019,5
Location and rooms were not a shoe box unlike the rest of hotels close by.,Nov 4| 2019,5
Good central location. Easy check in and out. Room service outsourced although downstairs bar open till late.,Nov 2| 2019,4
Everything was great| only fault was noise from city came in through windows.,Oct 30| 2019,5
Excellent customer service and CLEAN which is very important to me - only thing that was bad was there was only 2 elevators and guests and staff had to wait forever to use them - but other than that it was a great stay!,Oct 28| 2019,5
The bed design is terrible!  Base sticks out further than matters and kept hitting it with shin.  Bathroom door swings out and is awkward getting shower ready.,Oct 27| 2019,4
The hotel rooms are very comfortable and the location in midtown East is great. Staff very accommodating. Breakfast is standard mid-level hotel fare at $15 for a continental and $22 for a full breakfast.,Oct 27| 2019,5
Pros: Hotel is modern and very clean with good-sized rooms. Location is great for Grand Central| UN| midtown offices. Cons: Wardrobe is smaller than a regular closet. Hallway design puts door close to each other| and when a neighbor's door opens/closes during the night it sounds like your own door is being opened. Elevators are fast but there are only two servicing 20+ floors—and one was shut off every night of my stay| so guests would have to line up and wait in the lobby to get to their rooms for 2-5 minutes at 11PM or 1AM.,Oct 21| 2019,4
Great location| the staff is super friendly| have stayed here many times and would stay again and again,Oct 21| 2019,4
We enjoyed the fact that it was very close to the attractions of NYC.- Times Square| Rockefeller Center| Empire State Building| Chrysler Building| Macy's| Central Park| etc. Located on a quiet street and reasonably priced.  Would return.,Oct 20| 2019,5
Went in the city for a girls weekend and stayed at the Hilton Garden Inn. Wonderful hotel| room was clean and big| bathroom was great with plenty of room. Front desk people were very pleasant and nice. Nothing bad to say| will definitely stay here again!,Oct 14| 2019,5
We had a wonderful reception by the Hotel personnel,Oct 14| 2019,5
Comfy and relatively quiet (for NYC). My TV keeps switching off and back on after 5 mins. I'm sure they will get that fixed sometime.,Oct 13| 2019,3
Very pleasant and situated well to enjoy New York,Oct 8| 2019,4
We were greeted by the best front desk person with a great personality. Unfortunately| I cannot remember her name. She demonstrated the BEST costumer service I have experienced!,Oct 3| 2019,4
Great little upper east side hotel. Would definitely recommend,Oct 2| 2019,4
Great location| clean rooms and friendly staff. We were very happy with our choice of hotel.,Sep 27| 2019,5
Great location | close to subway. Very friendly staff,Sep 24| 2019,4
Service from front desk to facilities were excellent and very helpful. I felt secure even being out late night with the staff present at all times. Room was clean and the pillows were perfect. The only thing that didn’t work was fan in the bathroom.,Sep 15| 2019,5
It was too cold in the room and I couldn't control the temperature.  The central air did not allow this.  There were no heavy blanket.  The fall is cool and they should calibrate the temperature.,Sep 15| 2019,3
Infused water available in the lobby. Umbrellas available to borrow,Sep 13| 2019,5
I'm rating this on the fact that I appear to have considerably overpaid| probably the last time I trust Expedia.  Although there are the usual things you'd expect from a Hilton| e.g. comfy bed and pleasant furnishings| I found some aspects lacking such as the shower which was pretty weak.  Two elevators is not enough| we were only on the 6th floor so I would have happily walked but the stairs are signed in such a way that it appears that you'd set off fire alarms if you dared to open the door so it was a case of waiting.Didn't use the bar or breakfast as despite being charged too much for this average room| breakfast wasn't included.Check-in process was slow as the guy was also on the phone doing something else| not sure if it was a private or work call.  On the positives| the rest of the time the staff were vary courteous when entering or leaving the hotel and I liked the free water and cookies in reception.  The holding luggage on your last day service is also very helpful.,Sep 10| 2019,3
Room smelled bad. Mildew sour smell in bathroom. Almost vomited from the horrible smell of the bathroom. Like old dirty mop water.,Sep 9| 2019,3
Location was ideal. We were within walking distance to all the places we needed to be!,Sep 9| 2019,5
Everyone was so helpful and thoughtful.   I would come back to this hotel my next visit to nyc.   Perfect location.,Sep 8| 2019,5
Location was convenient but the room was small and uncomfortable. I wouldn’t recommend booking rooms here for those on vacation. These room are designed for people staying in the city for business. That’s it.,Sep 6| 2019,2
Nice and clean. Room a bit small. But the bathroom is nice. Room is updated.,Sep 5| 2019,5
I booked breakfast but they said my booking didn’t come with that. It was super loud outside the hotel. I could hear everything from outside. That woke me up in the morning.,Sep 5| 2019,3
I booked a suite for my family and I and we got a small tiny room instead. It’s was very disappointing. The bed are okay but the pillows was not comfortable at all. The pillows were super thin| it’s like sleeping on the bed without a pillow. After our first night my niece who is 10 and my sister who is 13 were complaining about their neck and that the room was so small and crowded. My brother who is 16| not bother by the pillows but as for me; I am a traveler so I know what a good pillows likes.Other than that the customer service were good and helpful. The room is nice and clean| just way too small for a family of four. And the worst part for us is that our room were next to the contractions so it’s was not a good experience for us at all.,Sep 5| 2019,2
The bed was very comfortable and the bathroom was nice shower was hot and good.,Sep 4| 2019,4
I like this hotel because of good location. It's only one block walking to subway and surrounded by a lot of restaurants. Also| the room is very clean and comfortable. Staff are friendly.,Sep 4| 2019,5
Excellent hotel with friendly staff. It's basic but everything you need.,Sep 2| 2019,4
Location is superb| which is why I chose it (short walk to Bloomingdale's| Fifth Ave).  Two minor problems| elevators are so slow and shower did not have enough power| despite being on 4th floor,Aug 26| 2019,4
Great hotel with friendly| helpful staff.  Everything was clean and neat.  They did an excellent job of servicing our room each day.  I’ll definitely plan to stay here again.,Aug 25| 2019,5
Very nice staff and good location. Comfortable rooms and quiet.,Aug 24| 2019,5
I wish that the faucet for the bathroom sink wasn’t so hard to turn on and off.  It was like the faucet handle was stuck or something.  Other than everything was fantastic.,Aug 24| 2019,5
I stayed here because my mom was having surgery at Sloan for her cancer and it was super convenient and close. The staff was phenomenal one of the kind women at the front desk even loaned me her charger because they were out and it was super late. My only complaint was the room service| the food was awful| premade and just bad. It was just easier for me to order before and after I got back from the hospital so as long as you aren’t relying on the food your stay will be amazing.,Aug 22| 2019,3
Location and staff friendliness| amenities coffee in the morning,Aug 21| 2019,5
Great location and friendly staff| room was clean and well maintained.,Aug 20| 2019,5
The pictures on the web made us believe it would be a nice room and a nice area. The area is a little far from the action and 52nd street is a bit blend. The room though is so narrow the four of us (my wife and two kids) couldn’t even be standing in the room at the same time. We had to sit on the beds so one person could go to the bathroom. When we got to the room upon checking in| the temperature was 76F. Who does that? Hotel should had set it up a lot cooler prior to our arrival. Then we tried to bring it back to 68F but never were able. We asked to have it fixed soon or to give us another room (it was 11:30pm so we wanted to go to bed but it was just too warm). They tried over and over to fix the A/C but never were able. They tried to resist to change the room but finally accepted. The new room was still that small (even though they had two queens). Two light were not working and the toilet kept on flushing itself. To top it off| their only parking solution is valet service at... $71 per day! What a scam. Almost $300 for 3 days. So now you are well advised on quality of that hotel.,Aug 20| 2019,1
The front desk was extremely nice and really took care of all my needs.,Aug 19| 2019,5
The hotel was in an excellent location and the staff and facilities were fantastic,Aug 18| 2019,5
Great location and friendly staff. Room was clean upon arrival and was a good enough size for all my needs.,Aug 18| 2019,5
This hotel was in  a good location| good staff. Needed the room last minute and got a clean room.,Aug 17| 2019,4
Clean decent size rooms for city nice bar only issueRoom in front and fairly loud street noise at night,Aug 10| 2019,5
Great staff. Easy check in. Great location walking distance to Central Park,Aug 8| 2019,5
Very noisy as walls so thin,Aug 7| 2019,2
We were 4 people in the room. Since first day we have to ask everyday for an extra towel. They never understood in 6 days| we need 4 towels. Unbelievable We did our check out yesterday. My husband forgot his sunglasses at the room 1708. He realized it 10 minutes later. We called the hotel 4 times and nobody pay real attention to it until I asked for the manager who direct my call to the cleaning staff. She already had the sunglasses with her.  So I asked her to send it to florida where we live. She immediately asked me for my credit card. She told me if I do not want to give her my credit card  I can send all the information to her email. This did not sound good to me. But I do not have another choise. I was in schock but I asked her the name Maria Bonilla and I gave my credit card information by phone.  I resquet to her to send the glasses by USPS priority mail. The postal office is near to the hotel. What a surprise this morning she sent the glasses via Fedex priority and the Invoice is $ 98.00. The staff in this hotel is awful.  This was our second time at this hotel but never again!!,Aug 7| 2019,3
I had an OK experience at this hotel.  The location is great and very convenient.  The Staff were friendly| but somewhat misinformed.  There are also only 2 elevators to service a very large building so leaving and returning is often a little challenging.  What I really had issues with were the following: 1) Whatever they were using to clean/not clean my room with caused me to have an allergic reaction and I ended up with allergic conjunctivitis| and I had to get eye drops for. 2) I had asked for an early morning wake up call.  I had seen the girl write it down the night before| but the call never came.  3) Upon leaving the hotel| I was told that no one could get me a taxi| and so at 3:30am in the morning| I as a single female had to work to 3rd Avenue with my bags to flag down a taxi by myself. I was scared.  I travel all over the world and stay in all kinds of accommodations| and this was the first time I had to get my own taxi cab like this in the middle of the night. Especially| after being told that there would no problem in getting me a taxi at that hour.,Aug 6| 2019,3
LOCATION LOCATION LOCATION! Convenient to anywhere of Manhattan.,Aug 6| 2019,5
Upon my arrival after checking I saw the bell hop jump to help a guy who drove up in a cab 15 minute after me and when I asked him about it he stated he did not see me...come NYC parked directly in front of the hotel with baggage? went to get ice out of the machine on floor 22 told I would have to go to floor 18 to get ice which the second day it was broken so no ice on a 90 degree day| there were people waiting 15 to 20 minutes for the elevator who finally decided to walk the 15 or so floors instead| I have been in plenty of hotels but come on this is Manhattan!!!!,Aug 5| 2019,1
Hotel staff was very nice.  We needed directions to our destinations and the staff was right on as far as what subway to take and where to transfer to get on a different line.  Internet was fast| free computer and copy machine was convienent.,Aug 4| 2019,5
Everything was good room just needed more towels. Location good.,Jul 31| 2019,4
Friendly and helpful staff. We were allowed to check in early which was great. Liked the safety of having to use your room card to operate the elevator. Convenient to subway entrance and walkable to many places.,Jul 31| 2019,5
I usually NEVER write reviews but hopefully this can stop someone from staying here and being robbed by the own hotel EMPLOYEES. We stayed here only 1 night and during the time we were gone they got into our luggage and took out $700 worth of jewelry!! First time this ever happens to me| ever! We filed a report on Saturday| July 27 and the manager was suppose to get back to me the very next day and it is July 31 and he hasn't. I've called multiple times and left voicemails and nothing. I am NOT a picky person but this is just unacceptable. DO NOT STAY HERE.,Jul 31| 2019,1
Clean room| quiet room| nice staff.  Hotel near a restaurant and not too far from bus stop.,Jul 31| 2019,4
Location was great| rooms are clean| bathrooms are somehow updated.      I would definitely stay here again.,Jul 31| 2019,5
Jacqueline was amazing!!! She made my stay!,Jul 31| 2019,5
The location is excellent and I love the coffee in the AM and the ice water in the afternoons.,Jul 30| 2019,5
Double rooms with comfy QUEEN beds which is a huge plus!  All staff were very friendly and helpful. Breakfast was excellent. Decent location in east midtown| very walkable to many spots. Will stay again!,Jul 29| 2019,5
Completely fraudulent and deceptive pictures and room size descriptions on line. This is NOT a normal HGI room - it is like sleeping in a closet you can barely walk in if you have a suitcase. Staff is unfriendly and hostile if you complain about getting a decent size room.,Jul 28| 2019,1
Amazing time in New York. Great location,Jul 28| 2019,5
No A/C ON THE HALLS| room super small. No Refrigertor| didnt work,Jul 28| 2019,1
Loved the hotel and restaurant| very convenient to Sloan Kettering Hospital. The beds were so comfortable and the room was amazing! We were on the top floor (28) with a beautiful city view. From check in to check out this hotel was great. We booked last minute the morning of our trip| with a wonderful hotels.com member rate.,Jul 23| 2019,5
Everyone was so nice and accommodating.  Even the housekeepers were so sweet| gave me a water bottle because it was so hot on my way to check out.,Jul 21| 2019,5
Staff was very helpful| room was clean-would definitely stay again,Jul 21| 2019,5
Very pleasant! The front desk staff was exceptional| very professional and friendly.,Jul 20| 2019,5
I needed a hotel with two queen beds which can be hard to find in mid-town Manhattan. The hotel is in a great location and the staff was helpful.,Jul 20| 2019,5
Staff were very friendly. The room was very beautiful and clean. Breakfast taste so good ! I recommend everyone to go there,Jul 20| 2019,5
Great staff and clean facility.Smaller building but great location.,Jul 16| 2019,4
Great location| comfortable room and helpful and efficient staff (Kevin was wonderful and he gave us some great dining recommendations). All in all a great experience.,Jul 16| 2019,5
Overall is Satisfied staff are friendly location is good,Jul 16| 2019,4
Loved this place. We walked to most attractions from the hotel.,Jul 11| 2019,5
Firstly| we waited for around 10 minutes in the reception for the checkin| and there is only one staff in the reception and he was handling some problems in a phonecall.Secondly| they did not tell me the bottles of water in my room is subject to charge| and I stayed in another Hilton in Manhattan| the bottle of water in room is FREE.Thirdly| I stayed for three nights| there were some noise constantly happen during midnight| I dont know it is the machine or what| just annoying. And the sound proof is not good too| I can always hear the next room was arguing some issue during midnight.Overall| I could not say good of my stay| it might be just OK.,Jul 6| 2019,3
I’ve stayed at other Hiltons before and they were better in terms of size and newness.  I love the fact that they have water for us in the lobby,Jul 5| 2019,3
It was a little dated but very comfortable.  Bed was comfy and hotel was clean,Jul 1| 2019,5
I love that the hotel has a great bar and restaurant| it is very conveniently located and has great access to the city.,Jun 30| 2019,5
Good and convenient location| not too far many nice places however the location is the highlight of this hotel. The room was by far the smallest one I have ever seen. Furniture is outdated| cracked at places and cries to be replaced. Bed was ok but pillows cery uncomfortable. Walls so thin that I woke up when an alarm in other room went off. What amazes me is that their wifi is hacked. Every second time I tried to connect my Windows would detect that I am being connected to weird digital print that often contained explicit words. Overpriced for what it offers.Would not stay here again.,Jun 29| 2019,4
Good beds. Good locations. Subway| shops and restaurants nearby. But... the toilet faucet has a squeaky handle and stiff. Reported since the first day we checked in and it hasn’t been fixed till the day we checked out. We stayed 4 nights here. Other than that| it’s alll good.,Jun 26| 2019,4
Convenience Loud music lobby areaFront desk personnel loud and not very professional Felt like take o leave attitude Won’t be backOutside street fresh pavement ( taxi area ) a little bit of sand will prevent shoes from being glue to surface,Jun 25| 2019,3
A very nice hotel with perfect location in the heart of Manhatten and very friendly staff.,Jun 25| 2019,5
Great staff! Great service! Great location!,Jun 24| 2019,5
We came by car.The valet service was very good.The hotel is clean| the breakfast was good and the location was very convenient.,Jun 23| 2019,5
I'd like the place is in the middle of everything | a one block is the metro station # 6 which connected with any metro in the area and down there was a mini shopping centerEvery morning we had coffee and chocolate and after that cold water whit fruit anytime of the day| everything was set in the Lobby|  very convenient .,Jun 23| 2019,5
We really enjoyed the location in midtown east.  Walkable to so much and subway access a few blocks away! It was clean and neat. Always a friendly staff willing to give us ideas/suggestions anytime we asked.,Jun 19| 2019,5
Ice machine broken. We called down for ice multiple times| but they never actually came up. Tv also didnt work,Jun 13| 2019,2
Great location! Close to everything| especially the subway.,Jun 12| 2019,5
Great location and comfortable stay.,Jun 11| 2019,5
Good hotel| in a not so good location. Jackeline in the front desk was awesome .,Jun 11| 2019,4
Nothing and the lobby coffee quality was poor. This place was nothing special.,Jun 10| 2019,3
When I happened to try checking in another Hilton Garden Inn| the reception staff gave me a bottle of water as I sweated too much.,Jun 7| 2019,3
The staff was very kind - there was an issue with my room| and it needed to be fixed - they took care of me for my troubles| and handled it with class.  The room was great| the breakfast was great too,Jun 7| 2019,5
The staff was very nice and pleased| ready to help and almost all of them were perfect fit for the job. It just had one very rude old lady on the front desk that didn’t care about treating us nice| she speaks Spanish| I don’t remember her name| besides that| we had no problems.,Jun 2| 2019,5
It was noisy outside due to construction and traffic.   Woke up few times at night.  Other than that| it was a good place.,May 30| 2019,4
What can I say other than it was wonderful. We got there early and where given an early check-in at no extra charge. The people where friendly no matter the time of day. And I must say those where some of the fastest elevators we've ever been in. The ice machine on our floor was not working but there was a sign posted with the location of the next available one. All in all 5stars. We can't wait to visit again. Thank u,May 30| 2019,5
Unfortunately this is a high rise building with too many floors and insufficient elevator service.,May 28| 2019,3
Downtown but not right in the centre of things. Easy access to everything via subway. Lots of restaurants near by.,May 26| 2019,5
Location was great nice breakfast|  staff was helpful,May 24| 2019,5
An Elevator was not working at all.  Very delayed elevator service.,May 24| 2019,4
Location was perfect. Staff was friendly and helpful.,May 22| 2019,5
The hotel overbooked our 1st night| so we did not have the terrace room we paid for. However| the staff the next day was amazing & got us into our reserved room. The staff was very helpful| friendly & accommodating.,May 22| 2019,5
Staff was very friendly and location was great. The only thing I did not care for is the hotel only had 2 elevators. Sometimes it would take a while to come.,May 21| 2019,4
The room is too small| very cramped.Carpets need to be replaced| they do not look clean.,May 20| 2019,3
Rooms on the Small side| but otherwise fine especially considering the Pricepoint,May 20| 2019,4
Jackie | who checked us in| went out of way on our behalf.  She never forgot our names the enire 3 da ys we were there.  The staff overall was excellent.,May 6| 2019,5
breakfast cooked food was so so and i regretted ordering and paying extra for the hot food items,May 1| 2019,4
Liked having coffee/tea or water in the lobby.  Staff pleasant.  Great location.,Apr 29| 2019,5
Very close restaurants and not too crowded as the Times Sqare area.,Apr 28| 2019,5
$100 for early check in| $10 for package handling. That's on top of the $380 room rate. Do yourself a favor and stay elsewhere.,Apr 26| 2019,1
Great location| helpful friendly staff and nice restaurant,Apr 24| 2019,5
Good location| friendly helpful staff,Apr 24| 2019,4
Property was easy to get to.Staff was very friendly.Area was great.,Apr 16| 2019,5
The restaurant served food that was exceptionally good. This was unexpected. The staff was nice and very helpful,Apr 14| 2019,5
Its near the train station one minute walk| near one of the best Bagel ESSA Bagel / Panda Express/ CVS Pharmacy. Staff is customer oriented. We have few demands And so nice to give it to us. Is a small hotel so definitely all you needs will be attended.  And the place is near the police station so it is very very safe.,Apr 10| 2019,5
The beds were very comfortable and the shower was great! I wish the restaurant would have stayed open later.,Apr 8| 2019,4
Easy check in!  Nice property.  Admittedly| a little far from major tourist spots with 3 small kids in tow.,Apr 8| 2019,5
Price and proximity to all main sites in midtown/manhattan. Great restaurant..great waitresses. Lobby is beautiful. Fire place to stay warm. Rooms had everything we needed. And beds were sooo comfortable.,Apr 7| 2019,5
I stay here when I go up to visit my nephew. Hotel is alway clean| everything works. Staff is friendly| professional and helpful. Location for me is great.,Apr 1| 2019,5
Staff very nice|helpful| professional.Hotel is very clean. Very close to  2nd  and 3rd Ave,Apr 1| 2019,5
I liked that there was ice water in the lobby in the evening.  I wish that the ice water had also been available in the morning| for people who don't drink coffee or tea.  One of the elevators was out of service for awhile one day| making for long waits.  It was fixed promptly.,Apr 1| 2019,4
Pro: Good value - lowest cost for the immediate vicinity.  I also appreciated the security feature of requiring a key card to use the elevator.Con:  it was difficult to walk in the small space between the large desk chair and the bed. I suggest swapping out the full-sized desk chair for one without arms so it can be fully pushed into the desk when not in use| thereby provdiing more room to walk by the bed.,Mar 30| 2019,4
Good hotel that was in the perfect location for us.  From a comfort and usability standpoint there were a couple of minor negative points.  The shower was designed by someone who apparently never used a shower.  The location of the controls relative to the entry was ridiculous.  In addition the controls were very difficult to adjust.  The bed frame had sharp edges.  Be careful at night!  Very clean and the staff was very competent.,Mar 29| 2019,4
Very good location . Hotel had best assisting staff!,Mar 28| 2019,5
The elevator is audible all night even when it's not beside the room. The sheets are incredibly rough--I've never noticed sheet quality until this stay--they literally caused friction burns from turning at night. Clean and good location| with free WiFi in the room| but comfort and quiet are the price.,Mar 28| 2019,3
Beds have wooden frame with sharp corners.  Bumped into corners several times as room was not large.Shower was wonderful| but bed was worn.Appreciated water/coffee in lobby.,Mar 27| 2019,4
Great Staff| clean hotel and GREAT location. We will be recommending this hotel to others.,Mar 27| 2019,5
Nice place! Smaller than expected but we had a great stay!,Mar 25| 2019,4
